knee: patʰʊɹ 
knee: patur 
know: metorat 
know: mɛtʰoratʰ 
laugh: dukwin 
leaf: nabirëk 
leaf: nabirəkʰ 
leaf: nabirïk 
leaf: nabiruk 
leaf: nabirukʰ 
leg: daŋk 
lightning: anəpʰarɛtʰ 
lip: tsëkin 
long: gogong 
long: gogoŋ 
long: gogonggo 
long: gogoŋgo 
louse: iran 
louse: nʊmbʊɹ 
louse: nɨmbɨr 
man: noɹ 
man: nor 
man: puin 
meat: nagʊn 
meat: tʰaŋkʰ 
moon: kʰalewan 
moon: karewan 
moon: kʰarewan 
moon: kariwan 
mosquito: apab 
mosquito: mokomap 
mosquito: moǯik 
mosquito: naŋgɨt [kopar] 
mosquito: nauk 
mosquito: naukʰ 
mosquito: nawk 
mother: ngain 
mother: ŋain 
mother: ngay 
mother: ngiën 
mother: ŋiən 
mountain: param 
mountain: pʰaram 
mountain: përam 
mountain: pʰəram 
mouth: sɨkin 
mouth: tsəkʰin 
name: yaut 
name: yautʰ 
name: yawt 
nape: makʰaːm 
navel: saperakap 
near: pasamari 
new: nënggëmonggo 
new: nəŋgəmoŋgo 
new: nɨŋgɨmongo 
night: aganën 
night: aganən 
night: aganʊn 
night: aganun 
nose: daui(r) 
nose: daur 
not: nggwende 
not: ŋgwɛnde 
not: oŋgwe 
not: ongwe(ː) 
old: apʰanoɹ 
old: apanor 
old: lapʰaməro 
old: lapʰʊmaro 
old: norapʰo 
old: patengo 
old: patero 
old: patʰɛro 
one: abe 
one: aßeːpʰ 
one: aßeßa 
one: aveva 
person: nor 
rain: alʊm ~ arʊm 
rain: alum 
rain: arʊm 
rain: arum 
rat: kibar 
rat: kimbar 
rat: kimbaul 
rat: kʰimbaul 
rat: nɟimbar 
right: naganak 
ripe: krɨgao 
river: saboːn 
road: iagabol 
road: lagaboɹ 
road: yagabor 
road: yagobol 
sea: dɪsiuːtʰ 
sea: gʊgʊn 
sea: masak 
seed: gawg 
short: pokopo 
short: pʰokʰopʰo 
short: pwakɨp 
shoulder: pena-garöb 
shoulder: pʰinagemb 
shoulder: pinagep 
shoulder: pʰɪnagemb 
sister: tatan 
sister: tʰatʰan 
sit: tosasa 
sit: tʰosasa 
skin: nagun 
sleep: manwaragara 
sleep: toarë 
sleep: tʰoarə 
small: ngga-nggan 
small: ŋgaŋgan 
smoke: bibiǯagam 
smoke: katik 
smoke: saken 
smoke: sakʰɛn 
smoke: sakërëkatik 
smoke: sakʰərəkʰatikʰ 
snake: wakïn 
snake: wakɨn 
snake: waukʰʊn 
snake: waukun 
snake: waukʰün 
snake: waukün 
stand: toyarasë 
star: moai 
