neck: wake-per 
new: bogar 
new: imi(na) 
new: naflinggir 
new: namo 
new: nemei 
new: tinggir 
new: yaranagi 
night: nuambëgri 
night: nukmugriye 
night: sʉomp 
night: süomp 
night: syam 
night: synem 
night: yaburwe 
nose: babasey 
nose: mazoy 
nose: paf-mae 
nose: paf(sai) 
nose: papsa 
nose: papsa-mae 
old: moghëna 
old: riwagai 
one: gueno 
one: mankua 
one: mentenwa 
one: muntou 
one: murwou 
one: ngguenwa 
one: ŋguenwa 
person: kninggir 
person: kningking 
rain: bo 
rain: bu-fam 
rain: mu 
rain: po 
rain: pu 
rain: usomb 
rat: asanggër 
rat: sas 
red: kangka 
red: kaŋka 
red: kengga 
red: kiane 
red: ombur 
red: umbui 
ripe: esi 
ripe: ombu-r 
river: bo-fo 
river: pu-owo 
road: mna 
road: mon 
road: monofo 
road: munupoi 
root: pngante 
root: pŋante 
root: prai 
root: pranta 
root: prante 
root: (ti-)brante 
round: wamboi 
round: warwar 
round: were 
sand: bifuis 
sand: buku 
sand: engk 
sand: pefis 
sand: pefyis 
sand: puwis 
say: mosof ong- 
say: mosof oŋ- 
say: nus 
say: oruna 
say: (si)orne 
seed: fur 
seed: mobui 
seed: vor 
see: nanggau 
see: naŋk 
see: nangk-/nengke 
see: neŋke 
see: nof-tnangkram 
see: tepeye 
see: teye 
short: moso 
short: mosoi 
shoulder: faŋgrah 
sit: kinaya 
sit: ngangga 
sit: ogokon 
sit: tonkoknum 
skin: toblo 
skin: tofngo 
skin: tofŋo 
skin: tofro 
skin: tofro(i) 
skin: tombuy 
sky: uwongk 
sky: uwoŋk 
sky: uwungk 
sky: uwuŋk 
sleep: itsgauw 
sleep: nautsem 
sleep: niti 
sleep: nof skea 
sleep: nun 
small: antamai 
small: ebiya 
small: ebye 
small: ewite 
small: kombai 
small: ntopa 
smoke: du-ti 
smoke: keus 
smoke: su-gus 
smoke: suis 
smoke: su-is 
smoke: to-tzon 
snake: soi 
snake: sowai 
snake: zai 
sour: soyirifoi 
sour: soyiriwo 
spit: nambas 
spit: nambos 
spit: sumbur 
stand: pxa 
stand: sobong 
stand: sɔboŋ 
stand: sombrom 
stand: sombura 
star: apmbar 
star: manman 
star: man-man 
star: mase 
star: skayam 
stone: ser 
stone: sok 
stone: suk 
stone: unai 
sun: akwambe 
sun: mentau 
sun: oi 
sun: usam(b) 
sun: ussam 
sweet: ambaswa 
sweet: sësëmbe 
swim: bro-brok 
swim: pro-borunene 
swim: pro-bruk 
swim: twinam 
swim: ule-bor 
swim: ure-pno-gona 
tail: ambdai 
tail: erur 
tail: orur 
tail: (ur)ur 
that: man 
that: oxko 
that: saka 
they: anggir 
they: gandi 
they: irni 
they: king angk 
they: kiŋ aŋk 
they: kiŋ aŋkan 
they: kirgen 
they: kninggir ba 
they two: kninggir sambër 
thigh: gemoh 
thigh: mangges 
thigh: miser 
thigh: muesir 
thin: tetefrei 
this: ka 
this: kek 
this: oxombon 
thou: iya 
thou: kebe 
thou: kiŋ sanan 
thou: kirsa 
thou: sa 
thou: sam 
thou: sef 
thou: si 
three: anggerana 
three: samber-bra 
three: sember-bra 
three: zambla monggo 
thunder: kur 
thunder: uwungkokaua 
today: yaraka 
tomorrow: moŋ 
tomorrow: omo 
tomorrow: omona 
tongue: mendaih 
tongue: mënte 
tongue: mer 
tongue: mrei 
tongue: mte 
tongue: muntae 
tongue: ndai 
tooth: ngroi 
tooth: so 
tooth: soe 
tooth: soi 
tooth: soiːh 
tree: mir 
tree: moiy 
tree: ti 
tree: t-mur 
two: angger 
two: sambar 
two: samber 
two: sampang 
two: sampaŋ 
two: zambla 
walk: awa 
walk: kokwam 
walk: nene 
walk: terkam 
walk: tinam 
wallaby: aisum 
wallaby: moses 
warm: pabang 
warm: pabaŋ 
water: bo 
water: bu 
water: nanu 
water: po 
water: pu 
water: wobi 
weep: musufifoi 
weep: nofpong 
weep: nopor 
weep: wakemeyebe 
weep: weweb 
weep: wo nanga 
weep: wo naŋa 
we: gandi 
we: ganei 
we: irka 
we: kigri mugran 
we: king ta 
we: kiŋ ta 
we: kiŋ tanan 
we: kiŋ yam 
we: nafmoron 
we: pei 
wet: psir 
we: tsan 
we two: kininggir samber 
we two: ki(-ninggir) sambër 
we two: ta samber 
we: ungkwana 
we: yan (ki) 
what: beanon 
what: manam 
what: manggei 
white: bsuk 
white: kamsowa 
white: kekei 
white: pusur 
white: yumboi 
white: yumpo 
who: ingane 
who: meneo 
who: san 
wind: fëf 
wind: fufui 
wind: kinfuf 
wind: wuf 
wing: pangga 
wing: peser 
wing: pësër 
woman: nonggu 
woman: yaman 
woman: yaman(-tu-kwara) 
woman: yemen-toi 
yellow: iyobok 
yellow: kwamba 
yellow: sopangga 
yellow: yampa 
yesterday: om 
you: gandi 
you: irya 
you: king sa 
you: kirkomboi 
you: kirsa 
you: krighi 
you: mgoang 
you two: krighi somber 
you two: mgoang somber 
