stick: maide | maidjey 
stone: clach | clagh	kh~lax 
straight: dìreach | jeeragh 
suck: deoghail | jiole	soo 
sun: grian | grian	krx~i3nx~ 
swell: at | att 
swim: snàmh | snaue 
tail: earball | arbyl	famman 
take: gabh 
that: sin | yn … shen	yn … shid | aon	nane	un	unnane	unx~ 
that: siud | yn … shen	yn … shid | aon	nane	un	unnane	unx~ 
there: an sin | ayns shen	ayns shid 
they: iad 
thick: tiugh | çhiu 
thin: caol | thanney 
think: saoil | smooinee 
think: smaoinich | smooinee 
thin: tana | thanney 
this: seo | yn … shoh 
thou: thu | hu	oo 
three: trì | tree	trì 
throw: tilg | ceau	tilg 
tie: ceangail | kiangley 
to: dà 
tongue: teanga | Ch~aNga	çhengey 
tooth: fiacail | feeackle	fy~3kh~EL 
tree: craobh | billey	kh~rx~uv 
turn: tionndaidh | cassey 
vomit: cuir a-mach | skeay	skeeah 
vomit: dìobhair | skeay	skeeah 
walk: coisich | shooyl 
warm: blàth | çheh 
wash: nigh | niee 
water: bùrn | doour	uSTE	uSky~E	ushtey 
water: uisge | doour	uSTE	uSky~E	ushtey 
we: sinn | Si5	shin 
wet: fliuch | fliugh 
what: dè | cre	c’red 
when?: cuin | cre’n traa	cuin 
where?: càite | c’raad 
white: geal | bane	fynn 
who: cò | quoi 
wide: leathann | lhean 
wife: bean | ben	ben heshey	ben phoost 
wind: gaoth | geay 
wing: sgiath | skian 
wipe: siab | glenney	rubbal 
with: còmhla ri | lesh	marish 
with: le | lesh	marish 
woman: bean | ben 
woman: boireannach | ben 
woods: coille | keyll 
worm: boiteag | beisht	beishteig	dhiane 
year: bliadhna | blein 
yellow: buidhe | buigh 
ye: sibh | shiu 
every: ooilley 
ash: leoie 
abdomen: bolg 
bigness: mooar 
large: mooar 
breasts: Th~ix	keeagh	khy$ix 
come from: hy~iT	hy~iky~	tar	çheet 
be dead: geddyn baase	pasEx 
dead: geddyn baase	pasEx 
ground: thalloo 
land: thalloo 
soil: thalloo 
fly: etlagh	ettyl 
fly v.: etlagh	ettyl 
left hand: lav 
1 sg.: mee	mi 
be knowledgeable: ta fys ec … 
head louse: meeyl	my~i3l 
male: dooinney	fer 
much: mooarane	ram 
multiple: mooarane	ram 
several: mooarane	ram 
hill: py~enx~	slieau 
title: a53m	ennym 
nighttime: oie	oxE 
adulterous: aon	nane	un	unnane	unx~ 
single: aon	nane	un	unnane	unx~ 
the: aon	nane	un	unnane	unx~ 
unprincipled: aon	nane	un	unnane	unx~ 
human: dooinney	tu5E 
human being: dooinney	tu5E 
rainy weather: fliaghey 
path: bayr	raad	rx~ahaj 
route: bayr	raad	rx~ahaj 
hide: crackan	kh~rx~aTh~enx~	kh~rx~akhy$enx~ 
little: beg 
smallness: beg 
rock: clagh	kh~lax 
2 sg: hu	oo 
you: hu	oo 
grind: daa	dà	ta 
two: daa	dà	ta 
go: shooyl 
hot: çheh 
1 pl. inc.: Si5	shin 
we₁: Si5	shin 
whiteness: bane	fynn 
who?: quoi 
female: ben 
distant: foddey 
serious: trome 
close: er gerrey	er çheu	faggys 
ner: er gerrey	er çheu	faggys 
earthworm: beisht	beishteig	dhiane 
3 sg.: eh 
she: eh 
2 pl.: shiu 
you all: shiu 
3 pl.: ad 
they: ad 
where: c’raad 
when: cre’n traa	cuin 
how: cre’n aght	kanys	kys 
broad: lhean 
wideness: lhean 
principal wife: ben	ben heshey	ben phoost 
his mother: moir 
my mother: moir 
his father: ayr 
my father: ayr 
forest: keyll 
branch: maidjey 
cord: tead 
flesh: feill 
grease: blennick	sahll 
claw: ingin 
nail: ingin 
arm: laue 
gut: collane 
insides: collane 
intestine: collane 
intestines: collane 
breath: tayrn ennal 
laughter: gearey 
cogitate: smooinee 
reflect: smooinee 
sniff: soaral 
afraid: goaill aggle roish 
be afraid: goaill aggle roish 
fright: goaill aggle roish 
alive: bee bio	bee er mayrn 
be alive: bee bio	bee er mayrn 
life: bee bio	bee er mayrn 
living: bee bio	bee er mayrn 
beat: bwoalley 
strike: bwoalley 
hack: giarrey 
cut open: scoltey	skeiltey 
pierce: seiy 
lie down: lhie 
tell lies: lhie 
turn around: cassey 
turn round: cassey 
drop: tuitt 
grasp: cum 
hold in arm: cum 
wring: craishtey	faastey	çhionney 
wash clothes: niee 
shove: broo 
bind: kiangley 
fasten: kiangley 
tie up: kiangley 
enumerate: coontey 
number: coontey 
tally: coontey 
have fun: cloie 
brook: awin 
stream: awin 
ocean: faarkey	keayn	mooir 
blaze: lostey 
daylight: laa 
daytime: laa 
evil: drogh	olk 
rot: breinn	loau 
filthy: breinnagh	broghe	sollagh 
soiled: breinnagh	broghe	sollagh 
blunt: moal 
damp: fliugh 
right side: jesh 
inside: ayns 
