breasts: Toks	gji	gjoks	gʸi	sisë 
burn tr.: djeg 
claw: thua	’kθetər 
nail: thua	’kθetər 
talon: thua	’kθetər 
cloud: re	shtëllungë 
come from: vij	vijnë	viy	vyen 
be dead: esin	i ’vdekur	vdEs	vdes	’vdekye 
dead: esin	i ’vdekur	vdEs	vdes	’vdekye 
ground: dhe	dhé	tokë	ðe	’tokə 
land: dhe	dhé	tokë	ðe	’tokə 
soil: dhe	dhé	tokë	ðe	’tokə 
fat: dhjamë 
fat n.: dhjamë 
grease: dhjamë 
lubricant: dhjamë 
oil: dhjamë 
fly: fluturoj	fluturojë	flʸutu’ron 
fly v.: fluturoj	fluturojë	flʸutu’ron 
left hand: dor3	dorë	’dorə 
1 sg.: mua	un3	unë	’unə 
kill: vrarë	vras	vret 
be knowledgeable: di 
lie: shtrirë	’štrohet 
lie down: shtrirë	’štrohet 
liver: jigEr	m3lCi	mëlçi	məlʸ’či 
head louse: mor	morr	mor̃ 
louse: mor	morr	mor̃ 
male: burrë	’bur̃ə 
man: njeri	vEt3	ɲe’ri 
much: shumë	’šumə 
multiple: shumë	’šumə 
several: shumë	’šumə 
flesh: mish	miš 
hill: mal	malʸ 
title: Em3r	emër	’emər 
new: i ri	ri 
nighttime: nat3	natë	’natə 
nose: hund3	hundë	nuhatje	’hundə 
adulterous: 53	ni	një 
single: 53	ni	një 
that: ai	ay	i cili	që 
the: 53	ni	një 
unprincipled: 53	ni	një 
human: njeri	vEt3	ɲe’ri 
human being: njeri	vEt3	ɲe’ri 
person: njeri	vEt3	ɲe’ri 
rainy weather: shi	ši 
path: StEg	rrugë	u83	udhë 
route: StEg	rrugë	u83	udhë 
root: rrënjë	’r̃əɲə 
round: i ’r̃otultə	rrumbullak	rrumbullakët	r̃otu’lak	r̃umbu’lak 
hide: l3kur3	lëkurë	lʸə’kurə 
little: i ’vogəlʸ	vogël 
smallness: i ’vogəlʸ	vogël 
stand: rri 
rock: gur	škəmb 
stone: gur	škəmb 
tail: bisht	bišt	gjurmues	ndjekës 
2 sg: ju	ti 
grind: du	dy	dü	ǵu 
go: ecur	mə’kəmbet	shkoj	’ec̷ən 
hot: i ngrohtë	i ’ngrohtə	i ’vakət	nxehtë 
1 pl. inc.: nE	ne 
we₁: nE	ne 
whiteness: bardhë	i ’barðə 
who?: cili	i cili	kush	kuš	’c̷ilʸi 
female: grua	’grua 
distant: e largët	larg	lʸarg 
dull: i ’rəndə	rëndë 
serious: i ’rəndə	rëndë 
close: afër	e afërt	’afər 
near: afër	e afërt	’afər 
ner: afër	e afërt	’afər 
salt: kripë	’kripə 
short: i shkurtër	i ’škurtər	shkurtër 
earthworm: glistër	krimb 
worm: glistër	krimb 
3 sg.: ai 
she: ai 
2 pl.: ju	yu 
ye: ju	yu 
you all: ju	yu 
3 pl.: ata	ato	a’ta	a’to 
where?: ku	në ç’vend 
when?: kur	në kohën kur 
how?: në ç’mënyrë	si 
some: ca	c̷a	disa	di’sa 
broad: i gjerë	i ’gʸerə 
wideness: i gjerë	i ’gʸerə 
thick: i trashë	i ’trašə 
narrow: i ngushtë	i ’nguštə 
principal wife: nuse	’grua 
wife: nuse	’grua 
his mother: nënë	’nənə 
mother: nënë	’nənə 
my mother: nënë	’nənə 
his father: at	atë	baba	ba’ba	krijues	themelues 
my father: at	atë	baba	ba’ba	krijues	themelues 
woods: pyll	pül 
branch: bastun	karthje	shkarpë	shkop	’degə 
cord: ko’nop	litar	lʸi’tar	tërkuzë	varg 
