rat: (ï)mbirichi 
rat: iφi 
rat: iφikyi 
rat: ɨmbiriči 
rat: mbiriči 
rat: mbiriki 
rat: mbirikyi 
red: ambo 
red: ʔamboy 
red: amboye 
red: ʔamboye 
red: ambo(ye) 
right: ŋaɲe 
right: nganye 
right: nganye/twan 
right: tan 
right: twan 
right: twon 
ripe: ʔʊri 
ripe: uri 
road: maɲe 
road: maɲeriŋk 
road: manye 
road: m(an)yeringk 
road: myeriŋk 
road: ngïm 
road: ŋɨm 
rope: care 
rope: hare 
rope: sare 
rope: tambʌ 
rope: tyare 
rotten: cɨɣ 
rotten: chigi 
rotten: čigi 
rotten: nyu\o 
rotten: sɨɣ 
rotten: siɣ 
rotten: sigh 
rotten: t(y)igh 
rotten: ɲuʔo 
rub: nyangg g-ab 
salt: ɣat 
salt: ghat 
sand: jhijhi 
sand: ǯiǯi 
say: wand 
scratch: gri 
scratch: griʔ 
scratch: gri0 
scratch: kiraßi 
see: noand 
see: nu\ond 
see: nuʔond 
see: nu(\)onjh 
see: nu\on(jh) 
see: nuʔonǯ 
see: nuwonǯ 
short: bog 
short: bwgoi 
short: bwog 
short: bwogi 
short: faiyi 
short: fwaha\ 
short: φaiyi 
short: φwahaʔ 
sister: čeč 
sister: čeče 
sister: chech(e) 
sister: jhajhe 
sister: jhejhe 
sister: kumungge 
sister: kumuŋgɛ 
sister: ǯaǯe 
sit: -ah 
sit: -as 
sit: -aty 
sit: nac 
sit: nah 
sit: nas 
sit: ̞nas 
skin: čaŋgo 
skin: čaŋgwo 
skin: changgo 
skin: changgwo 
skin: chonggo 
skin: čoŋgo 
skin: tsaŋgwʌ 
small: kwandi 
small: kwandiwo 
small: kwandi(wo) 
small: kwanhji 
small: kwanǯi 
small: kwochihwo 
small: kwočihwo 
small: wojhijhu 
small: wokwandi 
small: woǯiǯu 
smoke: cigaiyi 
smoke: gaiyi 
smoke: hubo 
smoke: obo 
smoke: suwo\i 
smoke: suwoʔi 
smoke: (tyi)gaiyi 
smoke: wasebo 
smoke: wase-bo 
smoke: wase-so\i 
smoke: wasesoʔi 
snake: ɣati 
snake: gahi 
snake: ghati 
stand: yenu 
star: dominggi 
star: domiŋgi 
star: pomi\i 
star: pomiʔi 
star: tem 
star: tominggi 
star: tomiŋgi 
stone: wa 
stone: wec 
stone: weh 
stone: wet 
stone: wety 
sun: bogi 
sun: ghiny 
sun: ɣiɲ 
sun: ngeni 
sun: ŋeni 
sun: ŋiɲ 
sun: nginy 
sun: ngïny 
tail: cumo 
tail: humo 
tail: tumo 
tail: t(y)umo 
take: nïnggu g-ad 
that: de 
that: te 
they: m-/r- 
they: ni 
they: r- 
they two: m-/r- 
this: ßen 
this: v-en/w-en/r-en 
this: wɛn 
thorn: at 
thorn: ʔwat 
thorn: yuwo 
thou: nu 
thou: -o 
thou: y-/kw- 
throat: gɨbe 
throat: gïbe 
tie: ta\ …ab 
tomorrow: franggi 
tomorrow: pranggi 
tomorrow: praŋgi 
tomorrow: yamb 
tomorrow: yambogri 
tomorrow: yambugri 
tomorrow: φraŋgi 
tongue: minjhu 
tongue: minǯu 
tongue: ngari 
tongue: ŋari 
tooth: cawo 
tooth: hawo 
tooth: sawo 
