warm: వెచ్చని 
1 pl. inc.: మనము	మేము 
we₁: మనము	మేము 
whiteness: తెల్ల 
who?: ఎవరు 
female: ఆడది	మహిళ	స్త్రీ 
yellow: పసుపు 
distant: దూరం 
far: దూరం 
dull: బరువైన 
heavy: బరువైన 
serious: బరువైన 
close: దగ్గర 
ner: దగ్గర 
earthworm: పురుగు 
3 sg.: అతడు	అతను	వాడు	వారు 
he: అతడు	అతను	వాడు	వారు 
she: అతడు	అతను	వాడు	వారు 
2 pl.: తమరు	మీరు 
ye: తమరు	మీరు 
you all: తమరు	మీరు 
3 pl.: అవి	వాళ్ళు 
they: అవి	వాళ్ళు 
here: ఇక్కడ	ఇచ్చట ఈడ 
there: అక్కడ	అచ్చట	ఆడ 
where: ఎక్కడ	ఎచ్చట	ఏడ 
where?: ఎక్కడ	ఎచ్చట	ఏడ 
when: ఎప్పుడు 
when?: ఎప్పుడు 
how: ఎట్లా	ఎలా 
how?: ఎట్లా	ఎలా 
some: కొంత	కొందరు	కొన్ని 
few: కొన్ని 
other: ఇతర	వేరే 
three: మూడు 
four: నాలుగు 
five: ఐదు 
broad: వెడల్పైన 
wide: వెడల్పైన 
wideness: వెడల్పైన 
fat: కొవ్వు 
thick: మందమైన 
narrow: ఇరుకైన	సన్నని 
child: పిల్ల	పిల్లవాడు 
principal wife: ఆలి	పెళ్ళాం	భార్య 
wife: ఆలి	పెళ్ళాం	భార్య 
husband: పెనిమిటి	భర్త	మొగుడు 
his mother: అమ్మ	తల్లి 
mother: అమ్మ	తల్లి 
my mother: అమ్మ	తల్లి 
father: తండ్రి	నాన్న 
his father: తండ్రి	నాన్న 
my father: తండ్రి	నాన్న 
forest: అడవి 
woods: అడవి 
branch: కట్టె	కర్ర 
stick: కట్టె	కర్ర 
fruit: పండు	ఫలము 
flower: పువ్వు	పుష్పము 
grass: గడ్డి 
cord: తాడు	మోకు 
rope: తాడు	మోకు 
flesh: మాంసం 
meat: మాంసం 
nail: గోరు 
leg: కాలు 
arm: చెయ్యి	చేయి 
wing: రెక్క 
gut: పేగులు 
guts: పేగులు 
insides: పేగులు 
intestine: పేగులు 
intestines: పేగులు 
suck: చీకు 
spit: ఉమ్ము 
vomit: కక్కు 
breath: ఊపిరి పీల్చు 
breathe: ఊపిరి పీల్చు 
laugh: నవ్వు 
laughter: నవ్వు 
cogitate: ఆలోచించు 
reflect: ఆలోచించు 
think: ఆలోచించు 
smell: మూచ్చూచు	వాసన చూచు 
sniff: మూచ్చూచు	వాసన చూచు 
afraid: బెదురు	భయపడు 
be afraid: బెదురు	భయపడు 
fear: బెదురు	భయపడు 
fright: బెదురు	భయపడు 
alive: బతుకు 
be alive: బతుకు 
life: బతుకు 
live: బతుకు 
living: బతుకు 
fight: పోరాడు 
hunt: వేటాడు 
beat: కొట్టు 
hit: కొట్టు 
strike: కొట్టు 
cut: కోయు 
hack: కోయు 
cut open: చీల్చు 
split: చీల్చు 
pierce: పొడుచు 
stab: పొడుచు 
scratch: గీరు 
dig: తవ్వు 
lie down: పడుకొను 
tell lies: పడుకొను 
turn: తిప్పు	తిరుగు 
turn around: తిప్పు	తిరుగు 
turn round: తిప్పు	తిరుగు 
drop: పడు 
fall: పడు 
grasp: పట్టుకొను 
hold: పట్టుకొను 
hold in arm: పట్టుకొను 
squeeze: పిసుకు 
wring: పిసుకు 
rub: రుద్దు 
wipe: తుడుచు 
wash: కడుగు 
wash clothes: కడుగు 
pull: లాగు 
push: తోయు	నెట్టు 
shove: తోయు	నెట్టు 
throw: విసురు 
bind: కట్టు 
fasten: కట్టు 
tie: కట్టు 
tie up: కట్టు 
sew: కుట్టు 
count: లెక్కించు 
enumerate: లెక్కించు 
number: లెక్కించు 
tally: లెక్కించు 
sing: పాడు 
have fun: ఆడు 
play: ఆడు 
float: తేలు 
flow: పారు 
freeze: గడ్డకట్టు 
swell: వాచు 
brook: నది 
river: నది 
stream: నది 
lake: సరస్సు 
ocean: కడలి	సముద్రం 
sea: కడలి	సముద్రం 
dust: దుమ్ము 
fog: పొగమంచు 
sky: ఆకాశం	నింగి 
snow: మంచు 
ice: గడ్డమంచు 
blaze: కాలు	మండు 
day: పగలు 
daylight: పగలు 
daytime: పగలు 
old: పాత 
evil: చెడ్డ 
rot: కుళ్ళిన	చెడిన 
rotten: కుళ్ళిన	చెడిన 
dirty: మురికైన 
filthy: మురికైన 
soiled: మురికైన 
straight: నేరు 
sharp: పదునైన 
blunt: మొండి	మొద్దైన 
smooth: నున్నని 
damp: తడి 
wet: తడి 
correct: సరైన 
right: కుడి 
right side: కుడి 
left: ఎడమ 
in: -లో 
inside: -లో 
with: -తో 
if: -ఇతే 
because: -వల్ల	ఎందుకంటే 
