tomorrow: ʉtɛp 
tongue: nembleng 
tongue: nembren 
tongue: nëmbreng 
tongue: nɨmblɛn 
tooth: wasëraen 
tooth: wasërang 
tooth: wasran 
tooth: wasrang 
tooth: wastung 
tooth: wəsraŋ 
tree: di 
tree: di(-nik) 
tree: nyuk 
tree: tomai 
two: namon 
two: namɔn 
two: namwan 
two: nanau 
walk: jua 
walk: kləŋ 
walk: kraungsa 
walk: krong 
walk: masi-masiso 
wallaby: sarudon 
wallaby: wepi 
wash: lu 
water: bu 
we: atnang 
we: atnaŋ 
weep: u 
weep: u-kro 
weep: wu 
weep: wunebu 
we: imot 
we (incl.): at 
we (incl.): imak 
we (incl.): imɔt 
what: nëkai 
what: sako 
what: sgo 
what: sko 
white: kelaut 
white: klaʉt 
white: kraut 
white: krawut 
who: nando 
who: nʌndo 
wind: nembid 
wind: nëmbit 
wind: nibit 
wind: nimbit 
wind: nɨmbit 
wind: numbit 
wing: deŋ 
wing: tabang 
woman: kabun 
woman: kabung 
woman: kabuŋ 
yellow: yango 
yellow: yangu 
yellow: yaŋu 
yellow: yangu(-yangu) 
yesterday: inɛŋa 
you: mat 
you: mat-nang 
you: mot-nang 
