auo,0.extinct
dbp,5.not endangered
uly,3.shifting
nzr,4.threatened
zlu,3.shifting
pze,4.threatened
ldd,0.extinct
gyz,3.shifting
zbu,5.not endangered
say,4.threatened
zaz,0.extinct
dyr,2.moribund
dsk,0.extinct
zem,0.extinct
cxh,4.threatened
tvi,0.extinct
dot,3.shifting
kkr,3.shifting
zns,3.shifting
bux,5.not endangered
grd,4.threatened
zah,3.shifting
tak,3.shifting
juu,3.shifting
jmi,2.moribund
jmb,5.not endangered
tgd,4.threatened
ajw,0.extinct
sir,3.shifting
pqa,3.shifting
kil,3.shifting
wji,4.threatened
mkf,5.not endangered
bbt,5.not endangered
dwa,1.nearly extinct
zim,5.not endangered
hed,5.not endangered
lme,5.not endangered
nnn,5.not endangered
zuy,0.extinct
mcn,5.not endangered
mpg,5.not endangered
mse,5.not endangered
jie,3.shifting
jia,4.threatened
xmj,3.shifting
kot,4.threatened
kqx,2.moribund
mxf,4.threatened
mpi,4.threatened
msv,3.shifting
aal,4.threatened
bdm,4.threatened
kvj,5.not endangered
hya,2.moribund
bcw,4.threatened
fkk,5.not endangered
hig,5.not endangered
gid,5.not endangered
gis,5.not endangered
giz,5.not endangered
bdn,0.extinct
xed,5.not endangered
hia,4.threatened
vem,5.not endangered
mje,0.extinct
mug,5.not endangered
mpk,3.shifting
pbi,5.not endangered
mfh,5.not endangered
dgh,5.not endangered
cie,4.threatened
gdf,5.not endangered
ngs,5.not endangered
mfi,5.not endangered
glw,5.not endangered
hbb,5.not endangered
mfm,5.not endangered
mrt,5.not endangered
ngx,3.shifting
ckl,5.not endangered
bwr,4.threatened
mfl,2.moribund
mfk,5.not endangered
mif,5.not endangered
gnd,5.not endangered
dme,5.not endangered
meq,5.not endangered
udl,5.not endangered
muy,5.not endangered
mxu,5.not endangered
mlw,5.not endangered
cuv,5.not endangered
maf,5.not endangered
mfj,5.not endangered
syk,4.threatened
gdu,5.not endangered
swq,4.threatened
tsh,4.threatened
hod,0.extinct
nja,4.threatened
jim,3.shifting
ziz,3.shifting
fli,5.not endangered
gde,4.threatened
ngw,4.threatened
bta,5.not endangered
bcy,5.not endangered
gou,4.threatened
bhs,5.not endangered
hna,5.not endangered
xmd,5.not endangered
dbq,4.threatened
dkx,5.not endangered
bvw,5.not endangered
gqa,4.threatened
hwo,5.not endangered
ttr,5.not endangered
jaf,5.not endangered
mqb,5.not endangered
mlr,5.not endangered
kqp,5.not endangered
gab,5.not endangered
kvf,4.threatened
tng,5.not endangered
nnc,5.not endangered
lln,5.not endangered
kvi,5.not endangered
ker,5.not endangered
gdk,3.shifting
mvh,5.not endangered
ndm,3.shifting
tmc,5.not endangered
sor,5.not endangered
swy,3.shifting
moz,5.not endangered
mcw,3.shifting
ubi,4.threatened
bvf,2.moribund
mlj,3.shifting
tax,3.shifting
sok,3.shifting
saa,3.shifting
bva,3.shifting
zrn,3.shifting
mes,5.not endangered
ckq,5.not endangered
mub,5.not endangered
mmy,5.not endangered
daa,4.threatened
bid,5.not endangered
jeu,3.shifting
muj,0.extinct
trj,3.shifting
mou,5.not endangered
btf,5.not endangered
gft,0.extinct
gru,5.not endangered
sgw,5.not endangered
mys,0.extinct
ior,5.not endangered
mvz,5.not endangered
har,5.not endangered
wle,5.not endangered
stv,5.not endangered
zwa,3.shifting
agj,4.threatened
amh,5.not endangered
gez,0.extinct
dlk,3.shifting
tig,5.not endangered
tir,5.not endangered
xna,0.extinct
acx,5.not endangered
adf,5.not endangered
ssh,5.not endangered
ars,5.not endangered
afb,5.not endangered
abv,5.not endangered
acw,5.not endangered
acq,5.not endangered
jye,4.threatened
ayn,5.not endangered
ayh,5.not endangered
acm,5.not endangered
yhd,5.not endangered
ayp,5.not endangered
auz,3.shifting
abh,3.shifting
ary,5.not endangered
xaa,0.extinct
arq,5.not endangered
mey,5.not endangered
aju,5.not endangered
aao,5.not endangered
yud,4.threatened
mlt,5.not endangered
aeb,5.not endangered
ajt,5.not endangered
ayl,5.not endangered
arb,5.not endangered
arz,5.not endangered
pga,5.not endangered
apd,5.not endangered
kcn,3.shifting
shu,5.not endangered
aec,5.not endangered
avl,5.not endangered
acy,3.shifting
apc,5.not endangered
ajp,5.not endangered
